DATE,RATINGS,TITLE,REVIEWS
"November 11, 2019",30,Average at best,"Group of 5 went here for dinner. This place has not been properly cleaned in years. The floors are slippery from lack of ""standard practice"" cleaning. Food - Good Service - Nothing special Will NOT go back."
"August 17, 2019",30,Rushed out. Food good though,Ordered chicken don. They looked super stressed. They gave me udon.but hey same price as don. Tastes good though. They places bill down as soon as we finished. Packed but no line up. Why rush us out?
"April 12, 2019",50,My favorite japanese restaurant in Toronto,This is my favourite restaurant Japanese in Toronto! The food is always fresh an I go there almost every weekend with my friends.
"December 4, 2018",10,Good Food but Horrible Service,"Not from Toronto, found this place while adventuring around and decided to try it. Walked in and was greeted right away and sat down. So far so good, they explained the all you can eat sushi, they give you a piece of paper and you...More"
"August 27, 2018",50,Saturday Lunch,"Don’t even think about going anywhere else in the Eaton Centre area for sushi! Great service, price and more importantly quality! Best all you can eat I’ve had in a long time!"
"July 9, 2018",50,Never disappointed,Visited this weekend with friends for the second time. This place never disappoints! Food is delicious and at a decent price!
"May 20, 2018",40,Great Fast Cheap Sushi!!,very well priced all you can eat and the quality is far above most other Toronto AYCE Sushi joints!!
"May 10, 2018",10,Bad,"We ask 3 times to 3 different waiter if gyoza were vegeterian and they all answered yes......THEY WERE TEASING US, meat was in it!!!!"
"March 18, 2018",40,Don't go if you're not hungry,"I wasn't sure if it would really be able to eat as much as we could but as soon as we had finished the dishes we had ordered, they brought another list to order more. It was pretty good sushi too."
"September 16, 2017",40,"Tasteful, quick, nice","We had Sushi ""All you can eat"" - perfect price for very good food. Really quick service. With focus on the food I give 5 stars, with regard on the ambience/atmosphere there will only be 3 stars."
"July 23, 2017",40,Sushi all you can eat,This place is one of my niece's favorite restaurant. We came here for lunch and enjoyed the all you can eat sushi which we chose according to our favorite. The food is good :)
"July 10, 2017",40,Not bad for a buffet,"Place looks a bit rundown, service was so-so, sushi rolls were average, sashimi and rice bowls were pretty good. Food was seved quickly and beer was cold. About what you should expect at an all-you-can eat restaurant."
"May 18, 2017",10,Really,"I've had sushi around the world and this place ranked with those places in northern Saskatchewan, lol. If you want substandard fare in downtown TO, and terrible, grumpy and pushy wait people then this is your place. I won't be back. Mind you I'll walk...More"
"April 14, 2017",50,Best sushi place in town !,Good food and great customer service ! The restaurant is just a few walk away from Dundas Square and Eaton Centre !
"April 8, 2017",40,"Delicious sushi, quick, though curt service.","We totally enjoyed the food at Kyoto House, the eel being the biggest hit at our table. The fish was fresh and delicious. The staff was rather brusque and smiles were scarce, but they were pretty efficient. If you need gluten-free soy sauce, bring some...More"
"November 4, 2016",40,Great deal,"We had dinner before and this place was literally packed, the all you can eat menu is good deal at $21.99 the sushi is nice with lovely variety of it especially the miso soup which was simple and delicious"
"October 11, 2016",40,"Excellent food, excellent price!","Really well done Japanese food, with good variety of hots and colds. Order by unit of each speciality, so no overloading. All you can eat for a more than fair price."
"September 18, 2016",10,Poor service !,"Bias in serving the customer, missed orders, the amount of food ordered not the same ( for several times !! ) Dinner on Sep 18th 2016, 8.30pm"
"July 24, 2016",30,Low price vs questionable quality,"I went for a quick lunch with co-workers expecting a reasonable ""all you can eat"" Japanese restaurant. Good points: - Good location - If you want to eat a lot not paying much, ok it may be the place - Diversity of basic dishes. Bad...More"
"July 17, 2016",30,Kyoto house has gone down hill but used to be great.,Will keep it short and sweet - if you're looking for quick/cheap/relatively decent AYCE sushi then this is the place to go. I've visited (2 of us) about 3-4 times in the past couple years and nothing compares to the first time. Service has gone...More
"July 14, 2016",40,Sushi tasty !,"Well, very good and cheap sushis. Lot of fresh fish and avocados. 12$ for lunch and 20$ for dinner. I really like it. But the service isn't really good... There is a lot of waitress, wich is good. But please... learn to smile !"
"July 13, 2016",50,Good food and value,"Was looking to find a place that has sushi, and came across Kyoto walking around. The all you can eat format is great, simply fill out the order form - and the friendly staff will bring it out shortly. In my opinion, there is enough...More"
"July 9, 2016",40,Great for the price,Sushi selection and quality isn't amazing but for the price you can't have higher expectations. I come here when Japango is full and I have a sushi craving. There are always tables available.
"June 29, 2016",40,Take out service was quick and food was good.,"Visited late one evening for take-out. Sushi was fresh, tasty and came with a bowl of miso soup and a small salad for under $10. Very convenient for the Hilton Hotel on Chestnut Street."
"May 18, 2016",30,Decent food,Have been there for lunch a couple of times. The service is always prompt and efficient and the food is decent. A good spot when you have a group.
"May 5, 2016",50,Great food. Fast service. Great price,"Was our first time visiting Kyoto House today. Would definitely return if I was in the area. The food was fresh, great service. My tea cup was never empty. The price is great for lunch. No complaints whatsoever."
"March 20, 2016",30,The price is good but the food...,"Well, I went there twice and, to be honest, I didn't like the food. I know many people who like there so you should go and try it for yourself. It is cheap, though."
"February 21, 2016",50,Bento box lunch,"Quick and efficient service. Very reasonable prices and great food. Classic bento; fresh salad, rolls, gyoza and teriyaki. A much wider range exists but we are Japanese newbies."
"February 1, 2016",30,Not bad for the price,"This is very typical Chinese AYCE sushi place so you shouldn't expect fancy sushi. $11 AYCE, where else you can get same rate? Ad it's right in the centre of downtown. Rolls are messy, sushi is not firm enough to lift with chopsticks yet fish...More"
