NAME,DATE,RATINGS,TITLE,REVIEWS
Casa Manila,19-09-2022,40,Danforth location new fave,"Vegan menu is dope. love the sizzling Tofu love the vegan adobo and Garlic rice that dessert is nice too. Did find the afternoon sunday lunch adobo portion to be small however. Shrinkflation perhaps as cost saving? Calamansi Mojito was nice, refreshing even."
Casa Manila,19-12-2021,10,Portions too small,"The price is high enough but the portion is unbelievably small and their serving plates are all oversize to give you the impression it's a big order. The taste is questionable of late, maybe new cook?"
Casa Manila,26-05-2021,50,TRY THE DEEP FRIED CHICKEN SKINS,"Saw it on ""you gotta eat here"" , tried the deep fried chicken skins, amazing with a little salt, very good"
Casa Manila,07-09-2020,10,Sour Kare-kare,"The service was slow, it took ages for our food to come. And the Kare-kare they served us taste sour and smells funky I have the feeling it is spoiled coz my wife had diarhea. When we complained about it they said it taste normal...More"
Casa Manila,29-12-2019,40,Very good,"Decor and tropical ambience is attractive. The food is always good. We sometimes come and have dinner as a large family group...this time was no exception. Everyone left, full and happy."
Casa Manila,23-05-2019,30,Interesting experience,It was quite a fun experience with this Philippino restaurant. We ordered the Kamayan Feast and everything was eaten by hand when the whole table was covered by banana leaves as plate. It’s a good place for fun friends and family gathering.
Casa Manila,11-02-2019,10,"Quality of Food, Drinks & Service = NOT WORTH THE VALUE!!","Service is ALWAYS EXTREMELY slow. Need to improve on that. You are in the customer service business and customer service should be your priority. Also, totally overpriced for the brunch combo. French press coffee is overpriced. Get a normally brewed coffee and make it strong....More"
Casa Manila,04-02-2019,50,From Boodle to Ala Carte,"Just the right gathering spot for everyone's favourite comfort food with fun-sharing ""boodle fight"" dishes and Spanish-influenced cuisine as the name of the place suggests."
Casa Manila,20-12-2018,30,Disappointed on staff..,"I can say that the food are delicious and the ambiance is nice.. but the staff not so friendly.. the owner is a snob to her own kind.. we were at the door and she ask if we’re all together with people behind us, when...More"
Casa Manila,24-07-2018,50,Very friendly owner,"Hosted bday party for my mom, very good food! Owner is very friendly, explain all the food! Over all over good experience!"
Casa Manila,18-06-2018,50,Awesome food,"everything are great! We enjoy our dinner here, I love their sago at gulaman, the crispy squid it's a Wow! They have boodle fight too(kamayan). The only problem is the parking. But the rest are great."
Casa Manila,16-03-2018,50,So far my best experience of Filipino cuisine,As someone who lives downtown I often take advantage of having access to a car to try out restaurants that have been recommended to me but are a bit too much of an adventure to get to by transit. This is exactly the kind of...More
Casa Manila,07-03-2018,30,Service started off cold but progressed to AWESOME,"Enjoyed my first dining experience at CASA manila. Upon entering the restaurant, I was really fascinated by the decor - warm and inviting, well-lit with selections of booths and long tables for large groups. I initially waited approximately 2 minutes before I was even acknowledged...More"
Casa Manila,22-01-2018,40,Yummy food,"The food was tasty and the service was great. However we found that the portions were small given the amount of money we paid. $54 for a combo for two but it was not a lot of food. On the plus side, all gluten free...More"
Casa Manila,14-10-2017,40,Excellent philipino food,"Really good food, good service as well. We came on a Saturday morning and order the combo dinner. On the expensive side but worth it."
Casa Manila,24-09-2017,40,Birthday party,We recommend reservations. We were there saturday for lunch. They offer a buffet but we decided on ordering off the menu. They have a wide variety of filipino dishes. Good food. Excellent service.
Casa Manila,04-08-2017,20,Dinner,We have to wait in the reception for more than 3 minutes before noticing us. The portion of the food does not match the price. Even the taste and presentation of the food were not enticing and appealing. No standard for their customer service. They...More
Casa Manila,22-07-2017,10,WORST SERVICE,"DO NOT EAT HERE. Went as a couple and we received one of our entrees, waited 30 minutes for the second one before we just got up and left. We had already asked a waitress who said she would check on it but then ignored...More"
Casa Manila,20-07-2017,10,"Poor service, worse food",I made reservations for summerlicious dinner but still needed to wait 15 minutes at the door before being acknowledged by a staff member. We were seated quickly as there were a few empty tables and the waitress/hostess placed the menus on our tables and left....More
Casa Manila,13-07-2017,40,Good food,"We have been to Casa Manila a few times already and the food they serve is good Filipino cuisine. - It is kind of pricey but taking into account the location, I would say that relative to the other restaurants in the area, the price...More"
Casa Manila,24-06-2017,40,Stop by,"We did a Drive by for halo-halo take-out. Delicious fresh ingredients , perfect balance of sweetness . Friendly staff. Place clean and well presented. Parking is a different story. Very limited parking."
Casa Manila,20-02-2017,40,"Feels like not in Toronto but tropics, friendly great food, especially meat","Friendly hostess, ordered a variety, Tamarind soup-great, spring rolls-awesome, Pancit-great, skewered chicken, pork pieces, and beef ribs-so tasty. Other tables had the presentation, which you have to order ahead of time. A drummer prepares you and the wait staff bring out long plates of food,...More"
Casa Manila,14-02-2017,50,I felt home!,"Location and Parking: Easy to find, 10-15 minutes away from downtown YYZ. We didn't have a hard time finding a parking, it was fairly accessible. Service: I must say that I was very happy with their service. Originally wanted to try ""Kamayan"" (One of different...More"
Casa Manila,06-02-2017,10,Embarrassing representation of Filipino cuisine and hospitality!!!,"I went here with some friends for Winterlicious. It was their first time trying Filipino food (and unfortunately, this was my first at Casa Manila, because if I've had a preview of the dining experience before, I would have NEVER brought them here.) If I...More"
Casa Manila,30-01-2017,30,Changed their menu...,"We used to come to casa Manila for their tapsilog breakfast. When we brought our relatives from Mississauga to eat there for brunch, they didn't have the breakfast menu anymore. Very disappointed. We wanted to eat something else that was on the menu, only to...More"
Casa Manila,23-01-2017,50,80th Birthday Celebration,"Casa Manila was the perfect venue for our Mom's 80th birthday celebration. As we were a big party of 28, it was a challenge to satisfy everyone's dietary needs. We wanted something unique with delicious food and attentive service. Casa Manila provided all, from the...More"
Casa Manila,06-11-2016,30,Expensive,"Authentic Filipino cuisine, There was confusion with our reservation, rectified very quickly. The good: Authentic Filipino cuisines, fairly tasty, family atmosphere the soup was excellent. The bad: Heavy food, not so good for light night dinner, slow service on Saturday night, expensive"
Casa Manila,17-10-2016,40,Amazing Filipino food,Suggested by a Filipino friend because it was supposed to be the closest real Filipino experience. Was very happy I went and must go back soon to try other dishes!
Casa Manila,27-09-2016,50,Great food! Great service!,My family frequents Casa Manila and always love the ambiance - the food and staff! Thank you for making it the best Filipino Restaurant in Toronto (and Ontario and Canada)!!!
Casa Manila,27-08-2016,50,One of the best Filipino dine-in restaurant in Toronto,"I've been here many many times because we always enjoyed the food and service here, not to mention the restaurant is nicely decorated. I recommend kari kari, pork barbecue, garlic rice, lechon kawali, bulalo (beef soup), vegetable with coconut sauce, sisig and halo halo."
Casa Manila,06-08-2016,40,first Filipino restrauant,with friends originally from Philippines came here. Very warm and gracious welcome and Service. The food did not disappoint. Enjoyed the fried platter and dessert halo halo. Had the Filipino beer San Miguel-not that good but fun trying it since it was from the Philippines.
Casa Manila,25-07-2016,40,Best Philipino Restaurant...as seen on You Gotta Eat Here (Food Network Canada)...,We have not always had the best experiences eating Philipino food. So we were pleasantly surprised by the friendliness and food quality at a restaurant that is a mainstay in the Toronto community. They are doing a great job and helping diners have a new...More
Casa Manila,14-07-2016,40,Authentic Filipino Food Fare,Authentic Filipino food fare at Casa Manila with traditional decor and home style service to match. It was my first time and I didn't know what to expect. My mom makes the best home made flip food yet I was surprised to discover another venue...More
